ananya|30.0|FOOD|2026-02-15|2026-02-15T12:26:02.616400|samosa
ananya|10.0|FOOD|2026-02-15|2026-02-15T13:02:05.489774|patty
ananya|733.0|TRAVEL|2026-02-22|2026-02-22T00:23:38.064284|CHD to Jammu
webuser|710.0|SHOPPING|2026-03-02|2026-03-02T20:46:45.937315|Skin Care
webuser|50.0|FOOD|2026-03-02|2026-03-02T21:52:17.330287|Chicken
webuser|1000.0|OTHER|2026-03-02|2026-03-02T21:53:44.862164|KFC
webuser|31.0|OTHER|2026-03-03|2026-03-03T12:20:57.090136|Milk
webuser|1100.0|SHOPPING|2026-03-05|2026-03-05T14:14:20.108643|Dress
webuser|1100.0|SHOPPING|2026-03-05|2026-03-05T14:14:44.278783|Dress
webuser|1200.0|TRAVEL|2026-03-05|2026-03-05T14:25:05.295528|Vande Bharat
webuser|250.0|FOOD|2026-03-19|2026-03-19T14:32:36.106939|pizza
ananya|1400.0|FOOD|2026-03-29|2026-03-29T15:23:05.743977|Birthday party
ananya|1300.0|FOOD|2026-03-29|2026-03-29T15:24:11.893275|birthday party
